A001856,濟能
A001859,禪了
A001860,禪那崛多別
A001861,禪修
A001863,禪能
A001866,謝于教
A001867,謝大材
A001868,謝承謨
A001870,謝觀光
A001871,鍾始聲
A001872,鍾惺
A001873,隆琦
A001874,韓巖
A001875,鮮演
A001876,瞿多
A001877,瞿汝稷
A001878,瞿沙
A001879,瞿曇法智
A001880,禮言
A001881,聶先
A001882,聶承遠
A001883,聶道真
A001885,藏川
A001886,藏俊
A001889,鎮澄
A001890,雙徑山僧眾
A001891,魏源
A001893,頤藏
A001894,懷信
A001895,懷則
A001896,懷迪
A001898,懷珠
A001899,懷素
A001900,懷深
A001901,懷感
A001902,懷遠
A001903,瓊林
A001905,羅濬
A001910,贊寧
A001912,嚴佛調
A001913,嚴培西
A001916,寶日
A001917,寶生
A001918,寶成
A001919,寶臣
A001920,實性
A001921,釋寶亮
A001922,寶思惟
A001924,寶盈
A001926,寶唱
A001927,寶貴
A001928,寶雲
A001929,寶達
A001930,寶曇
A001931,繼忠
A001932,繼祖
A001933,繼僧
A001934,繼燖
A001935,蘊聞
A001938,覺心
A001940,覺吉祥智
A001943,覺此
A001944,覺岸
A001945,覺苑
A001946,覺孫
A001947,覺訓
A001949,覺連
A001951,覺圓
A001952,覺慈
A001953,覺靜
A001957,迦稱
A001958,釋智
A001959,續法
A001960,道隆
A001961,護位
A001963,護法
A001964,辯才
A001965,辯弘
A001966,辯機
A001971,讀徹
A001972,讀體
A001974,龔穊綵
A001977,顯裕
A001978,顯權
A001979,體請
A001980,靈椉
A001982,靈述
A001983,靈泰
A001985,靈操
A001986,靈辨
A001987,靈耀
A001988,觀如
A001990,觀通
A001991,觀復
A001992,觀無畏
A001993,釋觀衡
A001997,法雲
A001999,智嚴
A002000,慧遠
A002167,曇帝
A002325,法頴
A002402,舍利弗
A002450,法藏
A003575,李翥
A003576,丁丙
A003591,性幽獨往
A003624,裴休
A003668,法藏
A003688,圓悟
A003703,文偃
A003828,慧經
A003855,如瑩
A003921,慧南
A004077,戒顯
A004078,行觀
A004127,寒山
A004190,葛寅亮
A004235,承遷
A004351,超質
A004475,從諗
A004551,元長
A004656,袁宏道
A004672,洪恩
A004702,王谷
A004774,法尊
A004777,釋印光
A004850,范寄東
A004888,大勇
A004891,韓清淨
A004896,灌頂
A004939,性珽
A005158,阿耨樓陀
A005179,徐𤊹
A005211,如一
A005272,豐干
A005283,靈裕
A005648,圓澄
A005825,法敏
A005957,信行
A006125,智周
A006259,唐臨
A006310,智嚴
A006334,閭丘胤
A006354,慧光
A006606,宋仁宗
A006952,周應賓
A007025,屠隆
A007130,興斧
A007133,明雪
A007178,呂澂
A007230,郭子章
A007237,釋畹荃
A007271,宋濂
A007274,釋傳燈
A007335,王芥庵
A007801,福徵
A007822,楊嘉祚
A007841,性沖
A007851,丁福保
A007860,法舫
A007940,青原愚者智
A007948,道盛
A007997,居簡
A008055,宗演
A008261,圓悟
A008323,明得
A008362,袁了凡
A008470,釋祖心
A008868,蔣超
A008920,王亨彥
A008960,文遠
A008962,惟慤
A008970,弘景
A009177,法崇
A009211,拾得
A009238,法照
A009287,本僼
A009414,密藏
A009420,晁逈
A009472,一行慧覺
A009477,王古
A009652,海明
A009658,普巖
A009892,李贄
A009936,法雲
A010007,雲峨喜禪師
A010037,行澤
A010055,淨瑩
A010057,函昰
A010077,如相
A010113,張掄
A010119,永嘉玄覺
A010142,鐵眉三巴掌禪師
A010152,圓䂐
A010533,蔡念生
A010540,范承勳
A010589,錢邦
A010624,智廣
A010644,學蘊
A010645,智度
